Group	Number	Source
Diplonemida	47	PR2
Diplonemida	12325	V9_OTUs
Myxogastrea	135	PR2
Myxogastrea	5	V9_OTUs
Choanoflagellata	103	PR2
Choanoflagellata	201	V9_OTUs
Streptophyta	3285	PR2
Streptophyta	103	V9_OTUs
Mamiellophyceae	125	PR2
Mamiellophyceae	400	V9_OTUs
Collodaria	58	PR2
Collodaria	5636	V9_OTUs
Acantharea	110	PR2
Acantharea	1043	V9_OTUs
Dinophyceae	930	PR2
Dinophyceae	24813	V9_OTUs
MALV-I	487	PR2
MALV-I	2035	V9_OTUs
Ciliates	1897	PR2
Ciliates	1963	V9_OTUs
Bacilliariophyta	1232	PR2
Bacilliariophyta	3276	V9_OTUs
Cryptophytes	26	PR2
Cryptophytes	413	V9_OTUs
Haptophytes	262	PR2
Haptophytes	713	V9_OTUs
